"Operario"	"Antes.del.curso"	"Despues.del.curso"
1	1,35319177854295	1,34163352993361
2	1,34828862775793	1,34549251311092
3	1,33594106890890	1,33491548042054
4	1,35577209155346	1,35123395166305
5	1,34874264898102	1,36068824720397
6	1,34680502517116	1,34787068132009
7	1,34267651917954	1,33610140175068
8	1,35967542572980	1,37365780456071
9	1,32847438403941	1,32186426874901
10	1,35319978143584	1,35056675232265
11	1,35309126359461	1,34949181186546
12	1,34461999348236	1,34269244159840
13	1,35382299989698	1,34402884310104
14	1,33918431142686	1,35098129483731
15	1,34952767733505	1,35984218392182
16	1,33496874464035	1,33194012849044
17	1,35558008659485	1,35219842607515
18	1,36408539599718	1,36582486579025
19	1,34514537844062	1,34433965391807
20	1,34575893223225	1,36593842536968
21	1,35427597833085	1,34074926976580
22	1,35550290735426	1,35839224638499
23	1,34372250156371	1,33756814770559
24	1,36679666613559	1,36831394479404
25	1,34249946264885	1,33408148613459
26	1,34547871489624	1,35445895587062
27	1,33144208249994	1,35112890216426
28	1,36237444071831	1,35797348335058
29	1,36510253581685	1,36277544097121
30	1,36483624800498	1,37128604360124
31	1,34468861811400	1,34386872134454
32	1,36481640951388	1,36308410540411
33	1,35626353874625	1,35321522987183
34	1,37051911572015	1,36158645236358
35	1,35428086042859	1,34530590732172
