"Indice"	"Edad"	"Intervalo Edad"	"Nivel de Estudios"
"1"	29.6099822420218	62.6158462636481	"De 61 a 64"	"Est. Universitarios"
"2"	10.4818069735435	44.8153483083049	"De 45 a 49"	"Est. Universitarios"
"3"	57.7397410120414	51.3381553682973	"De 50 a 54"	"Est. Secudarios"
"4"	46.7393322110325	41.6860348406035	"De 18 a 44"	"Est. Secudarios"
"5"	65.9664093604856	45.5914522186079	"De 45 a 49"	"Est. Secudarios"
"6"	55.8159370620569	62.9600743371199	"De 61 a 64"	"Est. Secudarios"
"7"	84.2094298295797	46.3256797943767	"De 45 a 49"	"Est. Primarios"
"8"	40.9957836861738	55.1902907949435	"De 55 a 60"	"Est. Secudarios"
"9"	82.0648246645432	62.2690139921589	"De 61 a 64"	"Est. Primarios"
"10"	30.7132196273976	45.0161971633136	"De 45 a 49"	"Est. Universitarios"
"11"	40.8465407162091	63.8579897785727	"De 61 a 64"	"Est. Secudarios"
"12"	58.6684316641575	57.1237366007536	"De 55 a 60"	"Est. Secudarios"
"13"	36.8830605617988	37.1180709246974	"De 18 a 44"	"Est. Universitarios"
"14"	29.3983788060149	41.4106704959198	"De 18 a 44"	"Est. Universitarios"
"15"	138.849007716007	59.9560192252748	"De 55 a 60"	"Est. Primarios"
"16"	78.7545440600547	52.0789202984552	"De 50 a 54"	"Est. Primarios"
"17"	35.5523733254902	55.0806445656256	"De 55 a 60"	"Est. Universitarios"
"18"	63.6655812003898	56.9122408818902	"De 55 a 60"	"Est. Secudarios"
"19"	35.4154007356163	52.6068311538415	"De 50 a 54"	"Est. Universitarios"
"20"	48.3783381555075	39.6712394737407	"De 18 a 44"	"Est. Secudarios"
"21"	33.2581095411655	56.7583286353045	"De 55 a 60"	"Est. Universitarios"
"22"	10.6021093305936	50.2179093768679	"De 50 a 54"	"Est. Universitarios"
"23"	36.5109793699768	41.4265502025842	"De 18 a 44"	"Est. Universitarios"
"24"	56.0898826906675	43.7328437551597	"De 18 a 44"	"Est. Secudarios"
"25"	11.7827606021233	47.4033209345039	"De 45 a 49"	"Est. Universitarios"
"26"	28.2150909127737	43.5160711388761	"De 18 a 44"	"Est. Universitarios"
"27"	29.9905769496381	58.0100062912519	"De 55 a 60"	"Est. Universitarios"
"28"	87.6858603205681	55.4696958301733	"De 55 a 60"	"Est. Primarios"
"29"	20.5638451932849	56.5555383394367	"De 55 a 60"	"Est. Universitarios"
"30"	45.6258413595718	42.7209061209168	"De 18 a 44"	"Est. Secudarios"
"31"	14.7142311753384	58.7058668280172	"De 55 a 60"	"Est. Universitarios"
"32"	55.8793013965107	54.3240127121176	"De 55 a 60"	"Est. Secudarios"
"33"	32.4313526983584	34.9413037770662	"De 18 a 44"	"Est. Universitarios"
"34"	63.9651217249255	35.7982983329475	"De 18 a 44"	"Est. Secudarios"
"35"	102.072813691668	46.0892808598675	"De 45 a 49"	"Est. Primarios"
"36"	74.9762803917143	57.3070463261365	"De 55 a 60"	"Est. Primarios"
"37"	32.7562962563173	63.8751304893475	"De 61 a 64"	"Est. Universitarios"
"38"	66.5518159039659	36.1936655260021	"De 18 a 44"	"Est. Secudarios"
"39"	13.7303433308132	63.6914878868993	"De 61 a 64"	"Est. Universitarios"
"40"	13.1176960749683	55.3880279977567	"De 55 a 60"	"Est. Universitarios"
"41"	47.2295020539665	64.5046096022131	"De 61 a 64"	"Est. Secudarios"
"42"	35.7502336986123	53.8767212247465	"De 50 a 54"	"Est. Universitarios"
"43"	60.1909400675699	56.8576582126622	"De 55 a 60"	"Est. Secudarios"
"44"	48.0917716529237	52.5677563970584	"De 50 a 54"	"Est. Secudarios"
"45"	77.7442979444835	37.9316756662857	"De 18 a 44"	"Est. Primarios"
"46"	28.2873004559443	41.1021357313486	"De 18 a 44"	"Est. Universitarios"
"47"	89.3523953261915	56.9699640082471	"De 55 a 60"	"Est. Primarios"
"48"	27.7563530622685	51.9377091687913	"De 50 a 54"	"Est. Universitarios"
"49"	49.9475207805843	57.9533513746783	"De 55 a 60"	"Est. Secudarios"
"50"	40.9924255389049	47.8981787597506	"De 45 a 49"	"Est. Secudarios"
"51"	14.7492699183471	54.0331888218865	"De 55 a 60"	"Est. Universitarios"
"52"	40.8033355916489	63.3037088559435	"De 61 a 64"	"Est. Secudarios"
"53"	30.2468022879509	42.4859731673623	"De 18 a 44"	"Est. Universitarios"
"54"	73.2706169452901	45.0671640914366	"De 45 a 49"	"Est. Primarios"
"55"	67.9985076024739	64.8216125258399	"De 61 a 64"	"Est. Secudarios"
"56"	46.7990920031774	59.1720517497096	"De 55 a 60"	"Est. Secudarios"
"57"	29.2356681706921	64.9393681030817	"De 61 a 64"	"Est. Universitarios"
"58"	56.2398342960463	58.2767725480428	"De 55 a 60"	"Est. Secudarios"
"59"	23.3033113874843	62.1523213476206	"De 61 a 64"	"Est. Universitarios"
"60"	34.2854560106498	52.6393988473975	"De 50 a 54"	"Est. Universitarios"
"61"	81.7880022974398	42.0063607980061	"De 18 a 44"	"Est. Primarios"
"62"	56.2316317808059	50.2469814619336	"De 50 a 54"	"Est. Secudarios"
"63"	53.0254970216446	56.7582727275244	"De 55 a 60"	"Est. Secudarios"
"64"	33.2385068693445	53.4512168722645	"De 50 a 54"	"Est. Universitarios"
"65"	39.4618920321277	57.1470568684604	"De 55 a 60"	"Est. Secudarios"
"66"	89.6710824773554	46.1908440505141	"De 45 a 49"	"Est. Primarios"
"67"	67.3782492995942	58.3033996525915	"De 55 a 60"	"Est. Secudarios"
"68"	80.6776209979695	49.2385133308409	"De 45 a 49"	"Est. Primarios"
"69"	20.6620632424358	60.2331911108695	"De 61 a 64"	"Est. Universitarios"
"70"	65.3669739556418	40.6446795497319	"De 18 a 44"	"Est. Secudarios"
"71"	79.9462663847244	39.8924868094235	"De 18 a 44"	"Est. Primarios"
"72"	73.8052349306528	36.6247378341776	"De 18 a 44"	"Est. Primarios"
"73"	24.9865225636071	62.7017846968615	"De 61 a 64"	"Est. Universitarios"
"74"	73.3929951711055	61.2028309535745	"De 61 a 64"	"Est. Primarios"
"75"	45.3077435830455	41.1235971308326	"De 18 a 44"	"Est. Secudarios"
"76"	71.6704481908359	36.2241486107864	"De 18 a 44"	"Est. Primarios"
"77"	77.1042406554325	41.6873286554617	"De 18 a 44"	"Est. Primarios"
"78"	23.5954132714262	62.0192843431125	"De 61 a 64"	"Est. Universitarios"
"79"	12.2728554899775	63.7582252235361	"De 61 a 64"	"Est. Universitarios"
"80"	44.7450525277675	61.4312736036855	"De 61 a 64"	"Est. Secudarios"
"81"	26.9926194724816	36.9166594580923	"De 18 a 44"	"Est. Universitarios"
"82"	44.7147854151175	53.4608075441993	"De 50 a 54"	"Est. Secudarios"
"83"	33.2561932208069	44.8777316834084	"De 45 a 49"	"Est. Universitarios"
"84"	43.5047564695036	53.4841174686937	"De 50 a 54"	"Est. Secudarios"
"85"	51.1094055206043	64.0273238987251	"De 61 a 64"	"Est. Secudarios"
"86"	20.0500826326559	64.4856072436369	"De 61 a 64"	"Est. Universitarios"
"87"	19.3145918009549	56.1493194660692	"De 55 a 60"	"Est. Universitarios"
"88"	111.613049309795	35.0192869482182	"De 18 a 44"	"Est. Primarios"
"89"	22.1726440229207	50.0698784573637	"De 50 a 54"	"Est. Universitarios"
"90"	42.1578938525285	43.4678894384556	"De 18 a 44"	"Est. Secudarios"
"91"	30.5182494833063	35.6738215062612	"De 18 a 44"	"Est. Universitarios"
"92"	46.0155947781184	46.8094735110518	"De 45 a 49"	"Est. Secudarios"
"93"	57.213802080815	42.0506331651044	"De 18 a 44"	"Est. Secudarios"
"94"	61.4004849898293	38.0091164318034	"De 18 a 44"	"Est. Secudarios"
"95"	70.4343023429575	42.3742808073146	"De 18 a 44"	"Est. Primarios"
"96"	61.2626776985988	63.3847842313108	"De 61 a 64"	"Est. Secudarios"
"97"	50.2386222247082	38.9373953925911	"De 18 a 44"	"Est. Secudarios"
"98"	51.6079188653602	53.9367817885237	"De 50 a 54"	"Est. Secudarios"
"99"	2.51723894994292	49.0109332943251	"De 45 a 49"	"Est. Universitarios"
"100"	15.4010092075408	64.6383547030612	"De 61 a 64"	"Est. Universitarios"
"101"	28.7736995463385	45.4549461298703	"De 45 a 49"	"Est. Universitarios"
"102"	69.0175375712315	42.5568759415932	"De 18 a 44"	"Est. Primarios"
"103"	9.32387484459742	53.5128915982292	"De 50 a 54"	"Est. Universitarios"
"104"	68.6929881518175	63.2924684702854	"De 61 a 64"	"Est. Secudarios"
"105"	29.8264060408311	46.5984518545985	"De 45 a 49"	"Est. Universitarios"
"106"	100.066798718198	59.0428028390555	"De 55 a 60"	"Est. Primarios"
"107"	86.4611617791045	58.8771408939549	"De 55 a 60"	"Est. Primarios"
"108"	52.5760869914141	64.5686088671755	"De 61 a 64"	"Est. Secudarios"
"109"	89.1099527151286	50.9676918627891	"De 50 a 54"	"Est. Primarios"
"110"	17.5866638350418	35.3366549730398	"De 18 a 44"	"Est. Universitarios"
"111"	18.5801285694523	37.3571661112934	"De 18 a 44"	"Est. Universitarios"
"112"	19.0279210934422	63.9742990355328	"De 61 a 64"	"Est. Universitarios"
"113"	21.2252403100695	59.9557012009085	"De 55 a 60"	"Est. Universitarios"
"114"	72.4286739982352	52.5918677420613	"De 50 a 54"	"Est. Primarios"
"115"	60.7583448521891	41.5849442062775	"De 18 a 44"	"Est. Secudarios"
"116"	21.3321640955688	58.9332673587689	"De 55 a 60"	"Est. Universitarios"
"117"	41.4266977205158	52.9255155541597	"De 50 a 54"	"Est. Secudarios"
"118"	68.1455668274514	38.8382141572001	"De 18 a 44"	"Est. Secudarios"
"119"	56.9817982954748	50.6322477168538	"De 50 a 54"	"Est. Secudarios"
"120"	19.9958161589243	48.4943182940315	"De 45 a 49"	"Est. Universitarios"
"121"	47.0630050051924	63.5503258733694	"De 61 a 64"	"Est. Secudarios"
"122"	96.5952905088962	53.9097420115975	"De 50 a 54"	"Est. Primarios"
"123"	70.8617151709076	41.8130964824458	"De 18 a 44"	"Est. Primarios"
"124"	52.1536985951644	53.7140237394421	"De 50 a 54"	"Est. Secudarios"
"125"	40.6134044826844	42.4338921743348	"De 18 a 44"	"Est. Secudarios"
"126"	70.5661894974524	43.8636200906407	"De 18 a 44"	"Est. Primarios"
"127"	76.4826059946562	56.1974252959542	"De 55 a 60"	"Est. Primarios"
"128"	56.5533725248794	61.7462347762494	"De 61 a 64"	"Est. Secudarios"
"129"	41.3292092361935	44.2901285970616	"De 45 a 49"	"Est. Secudarios"
"130"	27.1157240694272	56.0128496957401	"De 55 a 60"	"Est. Universitarios"
"131"	13.1143947709378	64.7368308984451	"De 61 a 64"	"Est. Universitarios"
"132"	60.2749618738784	55.0974433816595	"De 55 a 60"	"Est. Secudarios"
"133"	38.3321372810172	61.5872704256682	"De 61 a 64"	"Est. Universitarios"
"134"	76.0050159882286	47.4014921999174	"De 45 a 49"	"Est. Primarios"
"135"	18.3403066515193	63.4393739201741	"De 61 a 64"	"Est. Universitarios"
"136"	63.6709506770879	55.1201453506556	"De 55 a 60"	"Est. Secudarios"
"137"	55.4311029785995	60.0394223486662	"De 61 a 64"	"Est. Secudarios"
"138"	67.8631817367449	47.3265051763055	"De 45 a 49"	"Est. Secudarios"
"139"	36.2457422179155	57.4826401745374	"De 55 a 60"	"Est. Universitarios"
"140"	37.3935317174255	65.9391033540732	"De 61 a 64"	"Est. Universitarios"
"141"	28.9227780138952	64.1582381624745	"De 61 a 64"	"Est. Universitarios"
"142"	49.7340237355174	42.2214263216635	"De 18 a 44"	"Est. Secudarios"
"143"	42.3082604487135	43.2655490987004	"De 18 a 44"	"Est. Secudarios"
"144"	40.9840927002885	51.5329536167714	"De 50 a 54"	"Est. Secudarios"
"145"	90.5550239783615	49.5170641870849	"De 45 a 49"	"Est. Primarios"
"146"	15.4193612669421	62.8023433475642	"De 61 a 64"	"Est. Universitarios"
"147"	25.0350932638319	43.6108562236998	"De 18 a 44"	"Est. Universitarios"
"148"	41.5049100828612	63.0637403756341	"De 61 a 64"	"Est. Secudarios"
"149"	32.9371328884299	57.5509350629698	"De 55 a 60"	"Est. Universitarios"
"150"	13.3141493725121	46.0465194660045	"De 45 a 49"	"Est. Universitarios"
"151"	69.7285854560252	36.6459943456791	"De 18 a 44"	"Est. Primarios"
"152"	97.3864413821984	50.9614019052567	"De 50 a 54"	"Est. Primarios"
"153"	32.9171707354835	53.5975824926184	"De 50 a 54"	"Est. Universitarios"
"154"	47.2346860314806	63.0483953856965	"De 61 a 64"	"Est. Secudarios"
"155"	59.8420551382025	62.4687742460858	"De 61 a 64"	"Est. Secudarios"
"156"	63.7228440756596	56.0730182333235	"De 55 a 60"	"Est. Secudarios"
"157"	44.6320805288887	61.0889596290806	"De 61 a 64"	"Est. Secudarios"
"158"	43.5125113178793	38.2579742801473	"De 18 a 44"	"Est. Secudarios"
"159"	123.005131550531	36.8892158556115	"De 18 a 44"	"Est. Primarios"
"160"	50.0586209558461	47.0540172271727	"De 45 a 49"	"Est. Secudarios"
"161"	81.4160741268779	50.9963900269295	"De 50 a 54"	"Est. Primarios"
"162"	33.3934882090891	56.3824094520045	"De 55 a 60"	"Est. Universitarios"
"163"	76.2375031768573	59.7984291183158	"De 55 a 60"	"Est. Primarios"
"164"	20.1173967861869	55.1943952180687	"De 55 a 60"	"Est. Universitarios"
"165"	25.0748196746698	57.5464419432113	"De 55 a 60"	"Est. Universitarios"
